ticker,strategy_type_id,backtest_id,backtest_return,baseline_return,time_period,alpha
ADANIPORTS.NS,1,10,74.11,45.96,2017,28.15
ADANIPORTS.NS,1,11,47.9,45.96,2017,1.94
ADANIPORTS.NS,1,14,57.31,45.96,2017,11.35
ADANIPORTS.NS,1,15,68.75,45.96,2017,22.79
ADANIPORTS.NS,1,18,83.45,45.96,2017,37.49
ADANIPORTS.NS,1,19,55.72,45.96,2017,9.76
ADANIPORTS.NS,2,24,77.76,45.96,2017,31.8
ADANIPORTS.NS,2,28,72.02,45.96,2017,26.06
ADANIPORTS.NS,2,30,88.08,45.96,2017,42.12
ADANIPORTS.NS,2,36,48.88,45.96,2017,2.92
ADANIPORTS.NS,2,38,72.88,45.96,2017,26.92
ADANIPORTS.NS,1,8,4.43,-2.11,2018,6.54
ADANIPORTS.NS,1,10,15.89,-2.11,2018,18.0
ADANIPORTS.NS,1,14,17.06,-2.11,2018,19.17
ADANIPORTS.NS,1,20,7.37,-2.11,2018,9.48
ADANIPORTS.NS,2,21,3.66,-2.11,2018,5.77
ADANIPORTS.NS,2,22,3.45,-2.11,2018,5.56
ADANIPORTS.NS,2,30,5.01,-2.11,2018,7.12
ADANIPORTS.NS,2,32,94.94,-2.11,2018,97.05
ADANIPORTS.NS,2,36,42.59,-2.11,2018,44.7
ADANIPORTS.NS,2,38,14.59,-2.11,2018,16.7
ADANIPORTS.NS,1,1,16.0,-0.96,2019,16.96
ADANIPORTS.NS,1,3,114.66,-0.96,2019,115.62
ADANIPORTS.NS,1,5,45.68,-0.96,2019,46.64
ADANIPORTS.NS,1,6,1.15,-0.96,2019,2.11
ADANIPORTS.NS,1,7,146.18,-0.96,2019,147.14
ADANIPORTS.NS,1,8,53.49,-0.96,2019,54.45
ADANIPORTS.NS,1,9,67.4,-0.96,2019,68.36
ADANIPORTS.NS,1,10,40.74,-0.96,2019,41.7
ADANIPORTS.NS,1,11,164.28,-0.96,2019,165.24
ADANIPORTS.NS,1,12,21.08,-0.96,2019,22.04
ADANIPORTS.NS,1,13,84.78,-0.96,2019,85.74
ADANIPORTS.NS,1,14,15.56,-0.96,2019,16.52
ADANIPORTS.NS,1,15,232.12,-0.96,2019,233.08
ADANIPORTS.NS,1,16,0.83,-0.96,2019,1.79
ADANIPORTS.NS,1,17,7.87,-0.96,2019,8.83
ADANIPORTS.NS,1,18,22.88,-0.96,2019,23.84
ADANIPORTS.NS,1,19,105.39,-0.96,2019,106.35
ADANIPORTS.NS,1,20,7.75,-0.96,2019,8.71
ADANIPORTS.NS,2,24,269.51,-0.96,2019,270.47
ADANIPORTS.NS,2,25,21.23,-0.96,2019,22.19
ADANIPORTS.NS,2,27,34.69,-0.96,2019,35.65
ADANIPORTS.NS,2,28,265.82,-0.96,2019,266.78
ADANIPORTS.NS,2,29,90.22,-0.96,2019,91.18
ADANIPORTS.NS,2,30,22.41,-0.96,2019,23.37
ADANIPORTS.NS,2,32,97.72,-0.96,2019,98.68
ADANIPORTS.NS,2,33,54.98,-0.96,2019,55.94
ADANIPORTS.NS,2,34,23.57,-0.96,2019,24.53
ADANIPORTS.NS,2,35,9.09,-0.96,2019,10.05
ADANIPORTS.NS,2,36,208.41,-0.96,2019,209.37
ADANIPORTS.NS,2,37,60.2,-0.96,2019,61.16
ADANIPORTS.NS,2,38,6.79,-0.96,2019,7.75
ADANIPORTS.NS,2,39,19.6,-0.96,2019,20.56
ADANIPORTS.NS,2,40,178.51,-0.96,2019,179.47
ADANIPORTS.NS,2,21,29.9,26.26,2020,3.64
ADANIPORTS.NS,2,21,25.38,24.03,2017_Q1,1.35
ADANIPORTS.NS,2,32,27.94,24.03,2017_Q1,3.91
ADANIPORTS.NS,1,1,4.49,-10.9,2018_Q1,15.39
ADANIPORTS.NS,1,5,4.88,-10.9,2018_Q1,15.78
ADANIPORTS.NS,1,6,6.77,-10.9,2018_Q1,17.67
