ticker,strategy_type_id,backtest_id,2017-2020,2017,2018,2019,2020,2017_Q1,2018_Q1,2019_Q1,2020_Q1,2017_Q2,2018_Q2,2019_Q2,2020_Q2,2017_Q3,2018_Q3,2019_Q3,2020_Q3,2017_Q4,2018_Q4,2019_Q4,2020_Q4,2017_M1,2018_M1,2019_M1,2020_M1,2017_M2,2018_M2,2019_M2,2020_M2,2017_M3,2018_M3,2019_M3,2020_M3,2017_M4,2018_M4,2019_M4,2020_M4,2017_M5,2018_M5,2019_M5,2020_M5,2017_M6,2018_M6,2019_M6,2020_M6,2017_M7,2018_M7,2019_M7,2020_M7,2017_M8,2018_M8,2019_M8,2020_M8,2017_M9,2018_M9,2019_M9,2020_M9,2017_M10,2018_M10,2019_M10,2020_M10,2017_M11,2018_M11,2019_M11,2020_M11,2017_M12,2018_M12,2019_M12,2020_M12
ADANIPORTS.NS,1,1,14.38,16.39,-11.32,16.0,-4.47,22.5,4.49,-1.44,-22.88,14.38,-17.75,-7.19,9.65,11.07,-2.09,21.59,13.72,-25.21,5.38,4.29,-0.65,10.12,-1.95,-13.27,-7.53,9.3,21.01,30.94,-3.57,1.77,-11.93,-13.21,-13.52,14.37,-12.13,-3.37,-2.38,-7.09,-5.72,2.06,0.31,7.64,-0.71,-5.89,11.97,-13.66,1.56,-2.85,-5.69,19.17,6.7,1.15,-8.59,7.95,-9.64,23.73,31.91,-15.88,11.46,0.53,13.46,-6.58,-19.48,-4.95,-11.86,-4.82,17.42,9.15,-0.65
ADANIPORTS.NS,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADANIPORTS.NS,1,3,-16.22,14.57,-10.43,114.66,-61.97,23.56,-21.8,31.62,-46.66,3.7,-1.6,-0.47,0.09,11.27,20.6,41.96,3.09,-19.64,-3.48,15.42,-30.9,8.13,-20.43,-15.56,-6.16,17.11,11.04,69.25,5.32,-2.42,-11.5,-7.9,-46.03,12.78,-12.33,6.03,5.79,-5.13,-0.75,-3.52,-14.92,-3.08,13.09,-2.71,11.2,-14.6,10.94,-1.04,-4.17,16.62,9.87,10.21,-13.55,11.73,-1.06,30.16,24.44,-14.7,5.91,4.77,4.95,-11.84,-18.99,2.71,-26.27,6.86,12.49,7.27,-10.7
ADANIPORTS.NS,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADANIPORTS.NS,1,5,32.68,8.77,-9.18,45.68,-7.8,18.9,4.88,9.36,-27.55,23.7,-7.32,19.3,10.06,3.83,4.37,5.15,19.02,-28.77,-10.48,6.18,-2.85,12.86,-1.14,-13.72,-7.23,15.85,15.71,55.32,-6.14,-9.07,-8.32,-18.4,-16.8,23.16,-9.75,6.25,0.73,-1.05,2.95,8.08,-0.77,1.51,-0.24,3.88,10.12,-14.07,7.78,-5.37,-1.1,6.46,7.17,-11.26,-10.61,13.49,-9.64,25.22,34.64,-12.13,1.12,-2.07,17.69,-9.53,-25.49,-7.29,-17.45,-10.4,18.82,16.96,0.0
ADANIPORTS.NS,1,6,-32.32,3.28,-8.16,1.15,-29.46,2.94,6.77,14.25,-31.66,0.4,-4.66,-9.18,-10.73,8.01,-10.16,-5.7,19.4,-7.49,0.43,3.38,-3.15,0.0,6.2,6.19,-5.11,-1.03,4.29,5.46,-3.21,4.02,-3.6,2.02,-25.59,5.18,-1.8,0.13,-2.36,-6.49,-3.9,-10.76,-6.66,2.08,1.03,1.63,-2.05,-6.24,-3.11,-3.19,7.84,4.37,-2.9,-2.71,-9.22,10.38,-4.52,0.12,21.96,-4.93,0.0,0.0,8.12,-3.53,-5.82,2.42,-10.43,0.86,6.63,0.94,0.0
ADANIPORTS.NS,1,7,-14.56,35.32,-25.83,146.18,-65.42,13.99,-16.11,60.93,-52.67,5.19,-7.04,-0.47,-20.02,28.2,6.23,24.33,15.45,-11.97,-10.47,23.61,-20.87,7.89,-9.84,-0.73,-3.35,12.78,6.94,59.13,0.42,-6.32,-12.99,1.87,-51.24,4.0,-12.65,-2.55,0.39,1.43,2.91,2.77,-21.39,-0.28,3.41,-0.61,1.35,-13.06,4.25,-0.63,1.94,29.01,8.43,9.1,-18.32,14.3,-6.02,14.68,38.67,-12.92,-1.78,13.23,14.21,-5.26,-18.96,-0.98,-22.02,6.7,12.49,10.25,-11.15
ADANIPORTS.NS,1,8,-61.08,5.44,4.43,53.49,-76.97,-6.25,0.52,31.17,-62.27,5.23,-0.55,5.23,-21.07,12.52,0.85,5.3,8.18,-5.01,3.59,5.61,-28.52,-1.08,4.7,20.75,-5.79,-1.28,-2.82,8.62,-7.66,-4.0,-1.2,0.0,-56.64,4.99,1.24,8.32,-9.53,4.76,-1.43,-11.89,-12.76,-4.32,-0.35,10.26,0.0,-5.67,9.67,-2.53,1.16,-0.2,2.9,0.0,0.0,19.52,-10.64,8.03,6.94,4.98,5.75,0.0,0.0,-4.67,-8.25,2.74,-28.52,-5.08,6.77,2.79,0.0
ADANIPORTS.NS,1,9,-54.39,6.53,-23.13,67.4,-66.73,5.91,-0.99,85.15,-45.13,5.27,-9.47,-10.93,-13.8,10.28,11.54,12.36,2.82,-13.35,-23.12,-9.65,-31.58,11.1,4.24,25.66,-5.98,15.91,9.32,60.92,-12.38,-17.75,-13.12,-8.44,-33.39,8.02,-13.39,3.29,2.82,-0.66,5.68,-15.81,-10.81,-1.9,-1.08,2.42,-6.01,-15.97,20.7,-1.82,-6.72,17.06,5.0,-1.26,-17.81,12.11,-11.98,15.9,34.11,-8.66,-4.51,-8.93,11.13,-1.19,-32.02,-9.09,-27.35,-3.99,18.45,9.12,-15.26
ADANIPORTS.NS,1,10,33.99,74.11,15.89,40.74,-52.82,19.52,14.03,18.84,-35.95,12.05,19.15,2.86,-32.1,24.55,-13.34,5.21,17.72,4.38,-1.58,9.44,-7.84,0.0,16.2,16.24,13.71,8.98,-0.86,6.9,-12.46,9.67,-1.02,-4.36,-35.65,9.35,8.45,5.31,-3.53,4.2,3.09,-2.73,-27.67,-1.67,6.57,0.41,-2.7,-8.33,8.88,-1.98,11.2,7.96,-1.48,2.51,-9.59,25.85,-19.21,4.7,17.08,4.04,0.0,0.0,8.12,-4.71,-7.7,3.8,-14.76,5.29,6.63,5.43,0.0
