ticker,2017-2020,2017,2018,2019,2020,2017_Q1,2018_Q1,2019_Q1,2020_Q1,2017_Q2,2018_Q2,2019_Q2,2020_Q2,2017_Q3,2018_Q3,2019_Q3,2020_Q3,2017_Q4,2018_Q4,2019_Q4,2020_Q4,2017_M1,2018_M1,2019_M1,2020_M1,2017_M2,2018_M2,2019_M2,2020_M2,2017_M3,2018_M3,2019_M3,2020_M3,2017_M4,2018_M4,2019_M4,2020_M4,2017_M5,2018_M5,2019_M5,2020_M5,2017_M6,2018_M6,2019_M6,2020_M6,2017_M7,2018_M7,2019_M7,2020_M7,2017_M8,2018_M8,2019_M8,2020_M8,2017_M9,2018_M9,2019_M9,2020_M9,2017_M10,2018_M10,2019_M10,2020_M10,2017_M11,2018_M11,2019_M11,2020_M11,2017_M12,2018_M12,2019_M12,2020_M12
ADANIPORTS.NS,76.68,45.96,-3.07,-1.33,36.74,24.03,-15.81,0.64,-50.53,7.65,1.26,12.25,36.16,3.2,-11.85,-3.65,2.37,5.83,21.64,-9.59,48.72,11.25,11.45,-15.65,-5.02,-0.6,-4.33,-0.89,-9.19,16.71,-18.21,16.0,-35.01,-5.26,13.73,4.78,16.54,6.79,-4.93,7.71,23.01,1.88,-1.97,-4.2,1.41,13.15,13.22,-15.69,-11.54,-5.97,-5.84,-3.56,13.68,-2.96,-19.76,15.61,-2.41,18.04,-4.18,-5.17,3.47,-18.44,11.71,-3.27,24.43,4.2,4.88,-0.04,16.64
ASIANPAINT.NS,205.59,26.42,25.29,45.31,107.65,18.66,-2.47,12.1,-20.72,1.45,12.63,-18.29,18.47,1.27,-1.46,46.47,39.13,-0.57,13.24,4.89,81.41,9.55,1.13,8.17,0.55,4.84,-2.1,-5.97,-7.7,4.95,1.6,9.83,-20.3,3.38,5.7,-6.21,26.29,5.34,7.82,-3.24,1.82,-6.78,-2.21,-11.65,-2.35,3.09,15.93,17.57,3.21,7.89,-5.08,7.85,30.27,-7.22,-9.04,20.93,10.67,3.0,-3.75,1.92,20.28,-4.94,10.94,-8.82,6.32,2.5,3.63,6.07,49.59
AXISBANK.NS,38.57,26.3,15.14,28.73,-30.49,9.61,-10.94,32.51,-88.96,3.74,2.62,9.61,24.08,-1.81,18.14,-27.57,4.58,12.47,12.29,17.93,39.37,6.23,7.44,21.71,-6.18,6.89,-8.74,-4.04,-2.6,-3.46,-3.14,7.49,-72.71,2.02,4.08,-0.12,26.68,0.84,2.88,12.5,-1.31,2.08,-5.86,-0.49,5.17,-0.16,7.35,-29.77,1.89,-2.09,22.78,-2.22,15.27,1.65,-8.57,7.47,-9.09,5.68,6.68,17.84,10.8,0.38,3.37,-0.79,18.09,6.82,0.56,0.98,2.76
BAJAJ-AUTO.NS,32.54,26.58,-21.86,17.63,12.43,7.96,-21.17,8.61,-41.17,0.29,0.05,2.26,31.11,12.32,-4.04,1.02,4.08,4.89,-0.18,9.71,18.92,9.84,4.55,-3.43,2.27,-1.48,-8.48,8.5,-15.18,-1.02,-7.65,0.46,-28.52,3.09,5.53,5.04,22.69,-2.26,-2.67,-4.03,12.17,-2.37,-2.62,-4.72,1.77,1.31,-5.94,-13.31,4.83,4.37,2.55,7.23,1.58,7.48,-1.61,5.61,4.04,2.98,-5.1,12.88,-2.52,-0.93,3.38,-1.39,15.39,3.48,-0.36,-0.35,4.08
BAJFINANCE.NS,508.61,98.34,107.14,185.88,120.59,34.6,4.93,44.53,-232.94,21.99,54.91,74.0,85.79,51.82,-10.46,32.33,55.0,-16.34,48.81,31.21,219.79,22.54,0.55,1.65,13.78,2.49,3.5,7.62,12.24,14.06,15.01,35.2,-246.12,10.86,10.24,4.68,12.71,6.75,19.8,38.54,9.33,1.36,26.84,21.6,69.85,37.83,48.65,-56.2,32.99,10.66,19.86,10.87,53.95,4.22,-59.26,84.35,-25.96,-7.02,21.37,12.65,-8.49,-11.33,17.75,-4.46,165.66,5.71,17.03,32.28,54.17
BAJAJFINSV.NS,201.95,75.34,48.17,101.52,-20.32,38.95,2.39,26.27,-169.64,0.69,18.77,42.09,56.23,34.71,3.51,-0.56,-4.58,-5.21,26.09,31.6,102.56,12.84,-2.13,-9.73,-2.18,15.65,2.16,14.63,-1.2,7.56,4.55,20.85,-149.6,16.18,7.3,8.17,20.12,-12.22,15.1,20.65,0.03,-6.34,2.46,5.86,33.38,31.75,41.08,-47.22,0.58,16.71,-5.27,1.89,8.69,-7.55,-26.14,48.55,-10.56,-10.27,-12.41,-2.09,-10.43,3.96,15.9,13.68,103.24,3.9,17.72,14.58,3.53
BPCL.NS,-10.75,19.11,-31.05,31.31,-24.93,1.46,-16.94,7.95,-43.23,0.16,-11.73,-1.01,14.75,8.99,-0.2,27.03,-7.07,6.97,-2.49,-9.36,6.31,8.16,-2.21,-3.97,-7.17,-6.63,-8.26,1.76,-7.95,2.3,-1.6,6.89,-25.62,12.62,-8.44,-0.15,12.38,-0.13,6.63,7.24,-0.37,-13.33,-8.24,-9.58,9.03,12.34,6.28,-8.16,7.1,11.97,-9.3,3.0,-2.47,-14.02,1.93,32.25,-14.2,14.27,-22.11,-2.86,0.07,-10.88,5.16,-2.49,7.7,2.9,10.13,-1.97,-0.8
BHARTIARTL.NS,78.5,69.74,-63.36,58.21,19.09,12.56,-37.89,9.05,-11.85,12.19,-4.23,7.43,47.7,2.38,-13.28,-0.93,-44.16,46.06,0.34,37.96,29.85,10.96,-25.13,-0.26,14.45,3.04,1.74,0.35,4.71,-2.19,-7.32,10.59,-33.97,4.41,4.65,-2.45,31.64,6.21,-7.96,8.61,9.3,2.07,3.1,-1.49,0.72,11.25,5.29,-10.4,-1.26,2.15,3.49,1.14,-0.39,-8.67,-18.34,4.94,-41.39,49.66,-8.02,9.86,3.26,-18.99,3.68,22.57,7.72,14.02,-0.08,-1.86,8.68
BRITANNIA.NS,147.8,64.15,53.7,-5.35,36.23,16.89,10.9,-4.64,-33.85,10.34,38.34,-17.78,68.09,22.19,-13.49,10.41,18.95,13.8,16.17,9.47,-17.61,12.07,2.93,9.3,10.21,-1.73,7.53,-13.08,-18.0,9.0,2.36,-1.32,-26.62,8.07,14.07,-6.8,41.75,1.11,13.42,9.62,23.69,3.41,15.51,-16.12,6.58,7.06,8.9,-11.66,19.99,13.16,9.68,7.43,-0.36,4.32,-25.02,14.67,0.65,12.38,-5.42,25.33,-24.75,5.1,25.59,-12.62,14.48,-0.87,0.59,-2.08,-1.43
CIPLA.NS,44.87,8.04,-14.97,-6.83,61.21,4.76,-11.02,1.96,-10.56,-6.55,7.14,5.86,31.43,6.05,6.56,-25.21,22.4,5.76,-23.23,10.21,7.3,1.09,-3.67,1.2,-4.7,0.34,0.1,7.41,-7.5,0.65,-5.97,-4.06,2.08,-6.22,5.5,7.48,24.81,-7.03,-15.46,-1.19,5.42,4.51,16.95,-2.2,-1.86,1.87,3.91,-7.58,13.07,-0.03,4.18,-7.71,4.62,4.31,0.89,-10.05,6.14,8.45,-6.92,9.03,-4.27,-6.7,-11.7,-0.28,0.77,2.61,-2.25,2.1,10.88
