,strategy_config,2017-2020,2017,2018,2019,2020,2017_Q1,2018_Q1,2019_Q1,2020_Q1,2017_Q2,2018_Q2,2019_Q2,2020_Q2,2017_Q3,2018_Q3,2019_Q3,2020_Q3,2017_Q4,2018_Q4,2019_Q4,2020_Q4,2017_M1,2018_M1,2019_M1,2020_M1,2017_M2,2018_M2,2019_M2,2020_M2,2017_M3,2018_M3,2019_M3,2020_M3,2017_M4,2018_M4,2019_M4,2020_M4,2017_M5,2018_M5,2019_M5,2020_M5,2017_M6,2018_M6,2019_M6,2020_M6,2017_M7,2018_M7,2019_M7,2020_M7,2017_M8,2018_M8,2019_M8,2020_M8,2017_M9,2018_M9,2019_M9,2020_M9,2017_M10,2018_M10,2019_M10,2020_M10,2017_M11,2018_M11,2019_M11,2020_M11,2017_M12,2018_M12,2019_M12,2020_M12
0,0,4787.73,1809.4399999999998,84.95999999999997,680.8900000000001,889.0299999999997,592.9600000000002,-179.95000000000005,313.65,-1579.8500000000001,145.36999999999998,128.23000000000002,167.07999999999993,1503.76,313.44,120.37,-219.48000000000002,514.21,405.8299999999999,23.019999999999964,424.63,1183.6000000000001,360.36999999999995,131.57000000000002,-19.239999999999988,-87.54,96.44999999999999,-75.06999999999998,57.23,-292.53999999999996,132.47000000000003,-84.13000000000001,214.24,-1259.5099999999995,86.79,251.74999999999997,103.15,1077.9599999999996,88.61999999999998,-39.949999999999996,81.25000000000004,409.28999999999996,-57.97999999999999,0.6900000000000013,-73.76,172.48,279.77,255.82999999999993,-415.65999999999997,300.44000000000005,85.53999999999999,233.99999999999991,-2.1999999999999913,344.38,-5.410000000000009,-301.10999999999996,309.3600000000001,-119.94999999999999,292.45000000000005,-196.05999999999995,367.42,23.10999999999999,-93.82000000000002,93.68000000000002,-21.86,738.9499999999998,200.49999999999997,27.940000000000012,77.91,289.04999999999995
1,1,1267.2399999999998,551.16,1132.8200000000002,1317.2899999999997,-1252.38,84.68,362.33000000000004,248.87000000000006,-1379.7200000000005,341.11000000000007,58.83999999999999,0.4199999999999804,850.5800000000004,72.91999999999999,-32.12999999999996,1106.5700000000002,113.43000000000002,20.619999999999997,763.4999999999999,7.820000000000013,-307.87999999999994,3.389999999999997,-196.65000000000006,96.97,135.36999999999995,56.83999999999998,385.7199999999999,121.54000000000003,-292.02000000000004,38.42999999999998,174.75999999999996,13.550000000000002,-1223.3599999999997,80.35999999999999,-65.22,91.49999999999999,425.1299999999998,105.52999999999999,98.62999999999998,-119.72,152.15999999999997,150.19999999999996,15.58000000000001,17.450000000000017,185.51999999999998,-163.79999999999998,79.27999999999997,73.05000000000001,238.1,197.07999999999998,8.010000000000009,167.08999999999997,-81.52000000000001,39.63,-130.88999999999996,803.41,-38.97000000000003,-152.52999999999997,294.1600000000001,-127.4,35.830000000000005,89.04999999999995,11.979999999999988,92.92999999999998,-456.65,76.88000000000001,455.33,57.27,166.88000000000002
2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,1539.7900000000006,518.8100000000002,1028.9,1261.5100000000004,-1357.2000000000005,81.52999999999999,297.98,103.44000000000001,-1307.2900000000002,190.45000000000002,156.02,22.63999999999998,952.5500000000004,86.27999999999999,-76.28000000000006,832.1999999999998,53.110000000000014,210.08000000000004,669.1000000000001,217.36000000000013,-610.7799999999997,-99.94000000000001,-81.48000000000005,-5.41000000000003,14.490000000000002,71.85,308.99999999999994,68.76000000000005,-201.8,126.71000000000002,68.67,42.24000000000003,-1178.0600000000004,36.22999999999999,-18.739999999999984,136.95,462.6799999999999,46.56999999999999,86.84,-107.39,96.36000000000001,114.60000000000001,74.40999999999998,-22.490000000000002,321.6,-77.61999999999996,66.68000000000002,-117.52999999999999,217.22000000000003,149.55000000000007,49.180000000000014,203.41,-109.85999999999999,31.500000000000004,-189.69999999999993,745.84,-16.619999999999997,-50.98000000000002,287.18,-15.890000000000015,20.560000000000016,98.46999999999998,-51.51999999999998,147.85999999999996,-565.4699999999998,127.49999999999997,434.6400000000001,107.82,-31.880000000000003
4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,649.9000000000003,518.04,1095.7500000000002,1261.4899999999996,-1484.84,105.35999999999997,366.80000000000007,299.38000000000005,-1452.1300000000003,413.3799999999999,30.120000000000008,244.88000000000005,728.0400000000003,-2.8000000000000007,-38.24999999999999,845.44,39.95999999999993,25.400000000000006,746.4499999999999,-22.23000000000001,-491.7,-31.939999999999998,-195.40999999999997,71.82999999999998,85.66999999999997,107.04000000000002,339.38,217.75999999999993,-351.1,22.160000000000014,227.72,-6.260000000000007,-1190.57,127.25999999999993,-40.340000000000025,93.87000000000003,428.31000000000006,131.37,76.13000000000001,11.399999999999995,223.26000000000002,132.61999999999998,-22.480000000000004,90.34000000000002,45.09000000000001,-242.63,114.87000000000002,-96.38999999999999,252.69000000000003,190.88999999999996,5.740000000000013,110.40999999999998,-131.07,66.97,-162.88,816.5200000000002,-74.71000000000001,-121.80999999999996,322.99,-132.27,45.44999999999997,138.73,-26.04000000000002,81.15,-503.58000000000015,15.190000000000015,445.1100000000001,47.06000000000001,0.0
6,6,-809.1500000000001,270.21999999999997,238.14000000000001,315.59,-1343.4100000000003,29.200000000000017,135.86999999999998,126.16,-1210.9699999999998,65.02999999999997,-8.880000000000004,72.79000000000002,54.589999999999996,53.550000000000004,-112.19000000000003,151.23000000000002,128.51999999999998,132.81000000000003,217.97,-6.340000000000005,-353.44,-46.27,-76.69,37.57000000000001,28.770000000000014,12.51000000000001,169.82,91.56,-23.210000000000004,62.309999999999995,46.43000000000001,-12.98999999999999,-1206.4199999999998,-22.380000000000003,-39.91,36.98,39.14000000000001,33.48000000000001,85.64,9.989999999999997,14.329999999999995,53.54,-48.030000000000015,24.29,6.4900000000000055,-49.450000000000024,36.81,-113.12,10.009999999999996,77.48,-15.660000000000004,56.57000000000001,-37.61000000000001,29.320000000000007,-140.11,203.22999999999996,150.99,21.810000000000002,28.98999999999999,-90.67999999999998,-11.600000000000001,18.670000000000005,1.5700000000000056,38.93999999999999,-252.06,99.25999999999999,185.67000000000002,49.92,-90.24000000000002
7,7,1776.2200000000003,927.0699999999998,1211.2799999999995,1266.4299999999996,-1385.7899999999997,142.59,310.11,99.33999999999999,-1520.6500000000003,361.90000000000003,251.32000000000002,249.9099999999999,1042.86,111.91000000000001,-235.95000000000002,659.1500000000001,245.17000000000007,301.20000000000005,779.55,236.03,-683.0799999999999,-80.46999999999998,-52.96000000000002,-93.36000000000001,26.77,99.67999999999996,281.97,179.33000000000004,-208.61999999999998,134.68,94.35,-17.749999999999986,-1384.8299999999995,88.46999999999998,-105.08999999999999,118.63000000000005,642.7499999999999,131.43000000000006,181.54999999999998,64.03000000000003,37.799999999999976,135.1,151.76999999999998,53.210000000000036,318.53999999999996,-97.60000000000005,40.09999999999999,-141.04,268.48,178.78000000000003,-54.16,146.71,-130.44,36.82,-237.01000000000002,664.09,136.57000000000002,184.14,334.06999999999977,-37.129999999999995,-33.21999999999999,13.879999999999988,-81.68000000000005,120.89999999999996,-580.3,91.08000000000006,528.95,175.5,-39.820000000000014
8,8,-1047.66,519.13,254.30999999999997,638.4700000000001,-1917.2399999999993,-9.080000000000004,70.77,200.43,-1826.4300000000003,203.0,39.040000000000006,322.4199999999999,59.570000000000014,138.98,-165.24000000000004,65.03,187.32999999999998,224.31,318.06000000000006,72.69999999999999,-380.9600000000001,-28.570000000000007,-21.849999999999994,59.64000000000002,-133.42000000000002,13.650000000000007,84.4,158.08,-246.37999999999997,3.4299999999999993,19.869999999999994,-26.81000000000001,-1571.1000000000004,-32.26999999999998,-62.75000000000001,70.87,-91.23000000000002,170.93999999999997,121.48999999999997,130.07999999999998,107.34999999999998,63.48,-19.140000000000008,114.23999999999998,44.33999999999998,-119.28000000000004,112.57999999999998,-224.74000000000007,-39.2,125.54,-33.85,163.81999999999994,15.23,136.96,-253.27999999999994,146.20000000000005,202.30000000000004,135.73999999999998,170.14,-54.51999999999999,39.45000000000002,13.010000000000003,-77.08,29.79,-360.02000000000004,79.62000000000002,223.74999999999997,94.09999999999998,-38.01
9,9,478.40999999999997,747.29,880.29,1219.2900000000002,-1807.7199999999993,56.029999999999916,390.1200000000001,410.49999999999994,-1709.52,505.2799999999999,78.25999999999996,281.48999999999995,771.4899999999999,-28.990000000000002,-143.08000000000004,553.9000000000001,5.759999999999998,205.97999999999996,675.4899999999998,139.06,-710.2600000000001,-50.459999999999994,-121.29000000000002,60.439999999999955,71.27999999999997,75.56999999999996,313.06000000000006,318.2500000000001,-427.25,-10.650000000000013,213.79000000000005,-42.32999999999998,-1362.0900000000001,114.47999999999999,-48.129999999999995,48.61000000000003,268.56,229.24999999999997,99.54,81.17999999999999,240.33,128.62,-7.9700000000000255,100.13999999999999,107.15000000000002,-181.63999999999993,113.49999999999999,-209.83,227.45000000000002,72.32000000000001,-8.239999999999986,151.04999999999998,-198.68999999999994,111.34000000000002,-259.4600000000001,617.23,-4.969999999999995,44.45999999999999,248.00000000000003,-101.84000000000002,63.45000000000001,100.95,-77.81000000000004,93.72000000000001,-606.0300000000001,76.34000000000002,526.2399999999999,159.80999999999997,-144.64999999999995
